sample_id,mfcc_variance,spectral_centroid_shift,spectral_rolloff_anomaly,zero_crossing_rate_std,pitch_jitter_score,harmonic_to_noise_ratio,frequency_consistency,noise_pattern,ai_artifact_detected,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
AUD-20038,76.835,0.2704,0.158,0.1234,0.5539,16.2,Natural,Organic,No,0,0.0738,97,LOW,Authentic Voice Content
AUD-20039,100.19,0.2601,0.0986,0.0763,0.4397,17.83,Natural,Organic,No,0,0.1126,86,LOW,Authentic Voice Content
AUD-20040,106.837,0.2413,0.1073,0.0986,0.4202,11.11,Natural,Organic,No,0,0.0663,90,LOW,Authentic Voice Content
AUD-20041,49.714,0.6763,0.809,0.0357,0.1197,30.97,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8155,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20042,42.838,0.659,0.5519,0.0148,0.098,26.95,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8733,18,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20043,78.573,0.1327,0.058,0.0936,0.4351,14.81,Natural,Organic,No,0,0.0819,93,LOW,Authentic Voice Content
AUD-20044,34.434,0.5226,0.83,0.0267,0.1278,30.92,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9167,15,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20045,78.388,0.3964,0.1079,0.076,0.6228,15.31,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20046,89.14,0.3175,0.1287,0.1029,0.4605,16.7,Natural,Organic,No,0,0.1322,90,LOW,Authentic Voice Content
AUD-20047,32.773,0.6784,0.7687,0.0051,0.1319,27.24,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.99,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20048,38.858,0.7207,0.5538,0.0383,0.131,32.42,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.7776,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20049,98.472,0.1369,0.1366,0.0551,0.428,25.22,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20050,51.124,0.4107,0.6335,0.0304,0.1085,32.55,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8066,18,HIGH,Synthetic Voice / Deepfake Audio
AUD-20051,110.834,0.3173,0.2852,0.0625,0.3767,18.06,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20052,47.023,0.6301,0.791,0.0369,0.0509,22.69,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20053,60.714,0.6751,0.6385,0.015,0.1002,33.06,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20054,18.244,0.6426,0.7765,0.0334,0.1193,31.55,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9827,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20055,63.301,0.314,0.1187,0.0842,0.5941,22.31,Natural,Organic,No,0,0.0806,95,LOW,Authentic Voice Content
AUD-20056,40.438,0.6419,0.7403,0.014,0.1174,27.49,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8357,19,HIGH,Synthetic Voice / Deepfake Audio
AUD-20057,38.831,1.0,0.7055,0.023,0.0714,32.28,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9253,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20058,88.595,0.1429,0.1999,0.0554,0.3813,20.41,Natural,Organic,No,0,0.0668,92,LOW,Authentic Voice Content
AUD-20059,97.56,0.1351,0.1273,0.0687,0.5845,17.22,Natural,Organic,No,0,0.0611,94,LOW,Authentic Voice Content
AUD-20060,49.356,0.6897,0.615,0.0336,0.1037,21.22,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.99,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20061,79.214,0.2358,0.1044,0.1074,0.4621,15.98,Natural,Organic,No,0,0.0967,86,LOW,Authentic Voice Content
AUD-20062,88.353,0.1226,0.1035,0.0766,0.7589,17.07,Natural,Organic,No,0,0.1067,92,LOW,Authentic Voice Content
AUD-20063,39.854,0.6511,0.9241,0.0135,0.1557,23.68,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8577,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20064,65.212,0.186,0.2345,0.0927,0.5398,12.84,Natural,Organic,No,0,0.0905,90,LOW,Authentic Voice Content
AUD-20065,67.284,0.3074,0.2962,0.0621,0.3413,16.66,Natural,Organic,No,0,0.0767,92,LOW,Authentic Voice Content
AUD-20066,43.877,0.9287,0.9684,0.0262,0.0642,32.59,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8268,19,HIGH,Synthetic Voice / Deepfake Audio
AUD-20067,63.217,0.199,0.184,0.1124,0.3293,19.08,Natural,Organic,No,0,0.01,95,LOW,Authentic Voice Content
AUD-20068,45.446,0.2165,0.2652,0.105,0.242,15.34,Natural,Organic,No,0,0.1261,87,LOW,Authentic Voice Content
AUD-20069,34.44,0.7253,0.8129,0.0129,0.0654,25.86,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.7594,13,HIGH,Synthetic Voice / Deepfake Audio
AUD-20070,42.38,0.5053,0.7977,0.0142,0.1025,27.66,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8303,10,HIGH,Synthetic Voice / Deepfake Audio
AUD-20071,20.829,0.5403,0.693,0.0236,0.1187,37.18,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8366,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20072,105.107,0.1572,0.2668,0.0746,0.3636,18.28,Natural,Organic,No,0,0.0478,98,LOW,Authentic Voice Content
AUD-20073,115.504,0.1255,0.1295,0.102,0.585,19.53,Natural,Organic,No,0,0.1016,92,LOW,Authentic Voice Content
AUD-20074,36.308,0.493,0.7693,0.0152,0.0908,31.24,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9066,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20075,31.943,0.7841,0.817,0.0448,0.1153,20.4,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9538,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20076,96.488,0.1895,0.1161,0.0697,0.6134,23.95,Natural,Organic,No,0,0.0459,97,LOW,Authentic Voice Content
AUD-20077,84.793,0.1396,0.0626,0.062,0.5043,18.1,Natural,Organic,No,0,0.1241,86,LOW,Authentic Voice Content
AUD-20078,38.996,0.7719,0.8838,0.026,0.1182,26.76,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8646,21,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20079,41.566,0.4919,0.7631,0.031,0.121,21.44,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20080,85.909,0.1113,0.0,0.1253,0.32,17.56,Natural,Organic,No,0,0.1687,85,LOW,Authentic Voice Content
AUD-20081,79.705,0.2206,0.3795,0.0864,0.2943,19.8,Natural,Organic,No,0,0.1113,87,LOW,Authentic Voice Content
AUD-20082,33.058,0.6289,0.7664,0.029,0.0401,31.44,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.7883,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20083,116.58,0.2857,0.1264,0.1048,0.4811,17.17,Natural,Organic,No,0,0.0245,94,LOW,Authentic Voice Content
AUD-20084,53.954,0.2375,0.133,0.0822,0.6195,20.65,Natural,Organic,No,0,0.0471,99,LOW,Authentic Voice Content
AUD-20085,105.423,0.2374,0.2684,0.0822,0.5858,12.1,Natural,Organic,No,0,0.116,89,LOW,Authentic Voice Content
AUD-20086,52.096,0.8695,0.7715,0.0111,0.1799,22.31,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20087,112.48,0.2801,0.2003,0.0325,0.7271,21.86,Natural,Organic,No,0,0.0208,96,LOW,Authentic Voice Content
AUD-20088,29.764,0.6599,0.8565,0.0168,0.0489,30.54,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8583,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20089,67.62,0.0822,0.158,0.1025,0.4706,15.56,Natural,Organic,No,0,0.0546,92,LOW,Authentic Voice Content
AUD-20090,53.622,0.481,0.8549,0.037,0.1163,27.99,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20091,95.803,0.2683,0.1854,0.1369,0.5704,9.03,Natural,Organic,No,0,0.1055,87,LOW,Authentic Voice Content
AUD-20092,30.982,0.8141,0.6031,0.0277,0.1491,22.8,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8268,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20093,52.639,0.6859,0.7995,0.026,0.1121,28.43,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.7117,31,HIGH,Synthetic Voice / Deepfake Audio
AUD-20094,103.225,0.3008,0.167,0.0944,0.5723,10.09,Natural,Organic,No,0,0.0765,89,LOW,Authentic Voice Content
AUD-20095,97.414,0.309,0.0942,0.0718,0.4201,14.58,Natural,Organic,No,0,0.023,96,LOW,Authentic Voice Content
AUD-20096,26.729,0.8901,0.7837,0.0196,0.0706,23.06,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8236,30,HIGH,Synthetic Voice / Deepfake Audio
AUD-20097,101.861,0.2383,0.172,0.0969,0.5443,18.14,Natural,Organic,No,0,0.0319,91,LOW,Authentic Voice Content
AUD-20098,85.719,0.1158,0.1709,0.0852,0.396,20.6,Natural,Organic,No,0,0.0269,99,LOW,Authentic Voice Content
AUD-20099,35.666,0.7664,0.7509,0.0247,0.161,24.86,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.7914,11,HIGH,Synthetic Voice / Deepfake Audio
AUD-20100,93.985,0.2716,0.2047,0.0557,0.4421,14.8,Natural,Organic,No,0,0.1225,88,LOW,Authentic Voice Content
AUD-20101,68.718,0.2263,0.2025,0.0952,0.4363,25.52,Natural,Organic,No,0,0.1413,82,LOW,Authentic Voice Content
AUD-20102,77.429,0.2049,0.185,0.0391,0.741,21.32,Natural,Organic,No,0,0.0472,95,LOW,Authentic Voice Content
AUD-20103,40.735,0.7494,0.7919,0.0142,0.069,24.33,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8941,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20104,33.008,0.7167,0.7723,0.0362,0.1473,22.04,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9284,18,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20105,60.184,0.0616,0.2118,0.1283,0.6955,17.97,Natural,Organic,No,0,0.0572,91,LOW,Authentic Voice Content
AUD-20106,53.747,0.6115,0.6993,0.0209,0.0968,25.92,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9109,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20107,23.985,0.7828,0.6098,0.0307,0.1384,25.98,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20108,44.335,0.52,0.8713,0.0313,0.1146,24.68,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9707,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20109,40.47,0.5621,0.6246,0.019,0.1061,27.65,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9381,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20110,26.885,0.7018,0.7325,0.0439,0.1151,35.28,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.766,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20111,36.548,0.5259,0.6649,0.0263,0.0896,31.98,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9666,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20112,98.544,0.1418,0.1058,0.0589,0.418,24.6,Natural,Organic,No,0,0.0382,97,LOW,Authentic Voice Content
AUD-20113,79.222,0.2296,0.2538,0.0803,0.4586,19.01,Natural,Organic,No,0,0.0977,91,LOW,Authentic Voice Content
AUD-20114,36.375,0.7514,0.5544,0.0258,0.1018,22.98,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8653,21,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20115,23.676,0.6323,0.6712,0.0102,0.1075,30.0,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9294,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20116,27.002,0.9352,0.8419,0.0182,0.0933,29.7,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8796,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20117,75.563,0.2573,0.2149,0.1017,0.4304,14.7,Natural,Organic,No,0,0.0687,93,LOW,Authentic Voice Content
AUD-20118,22.935,0.8246,0.5451,0.0212,0.0985,28.24,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8365,11,HIGH,Synthetic Voice / Deepfake Audio
AUD-20119,32.42,0.5873,0.7126,0.0395,0.1039,29.54,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8186,20,HIGH,Synthetic Voice / Deepfake Audio
AUD-20120,44.188,0.7309,0.7899,0.0149,0.1011,26.26,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20121,37.141,0.6554,0.724,0.0251,0.1157,21.29,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8467,24,HIGH,Synthetic Voice / Deepfake Audio
AUD-20122,76.876,0.3025,0.1801,0.0806,0.5057,19.66,Natural,Organic,No,0,0.0217,98,LOW,Authentic Voice Content
AUD-20123,38.365,0.9029,0.8613,0.0282,0.1801,33.68,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.7427,19,HIGH,Synthetic Voice / Deepfake Audio
AUD-20124,26.089,0.4665,0.9531,0.0222,0.1285,33.86,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8205,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20125,27.689,0.8507,0.7196,0.0053,0.1423,23.69,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.909,14,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20126,34.972,0.8909,0.7245,0.0083,0.1121,27.16,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.7843,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20127,63.936,0.5759,0.746,0.0184,0.0712,19.18,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9116,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20128,86.48,0.1823,0.2144,0.1034,0.5306,20.94,Natural,Organic,No,0,0.01,96,LOW,Authentic Voice Content
AUD-20129,36.576,0.4793,0.5426,0.0186,0.1244,28.68,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20130,51.469,0.8007,0.7598,0.0185,0.1395,23.55,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9068,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20131,89.363,0.3076,0.1896,0.093,0.3667,8.01,Natural,Organic,No,0,0.0639,89,LOW,Authentic Voice Content
AUD-20132,100.345,0.0891,0.2602,0.0669,0.5341,22.44,Natural,Organic,No,0,0.0803,89,LOW,Authentic Voice Content
AUD-20133,95.161,0.3303,0.2254,0.0787,0.672,14.21,Natural,Organic,No,0,0.0542,96,LOW,Authentic Voice Content
AUD-20134,33.719,0.5674,0.7789,0.0237,0.116,35.43,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8119,9,HIGH,Synthetic Voice / Deepfake Audio
AUD-20135,60.659,0.3684,0.1785,0.0681,0.6366,19.44,Natural,Organic,No,0,0.0549,92,LOW,Authentic Voice Content
AUD-20136,51.779,0.5459,0.4422,0.0106,0.0482,23.64,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8226,19,HIGH,Synthetic Voice / Deepfake Audio
AUD-20137,77.423,0.2083,0.0951,0.0745,0.5364,16.4,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20138,55.655,0.845,0.5875,0.0383,0.0877,28.8,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20139,48.89,0.8643,0.8982,0.0233,0.1504,25.87,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9634,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20140,92.993,0.1033,0.1924,0.0241,0.3718,15.14,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20141,43.711,0.9523,0.7855,0.0356,0.0997,31.91,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8138,16,HIGH,Synthetic Voice / Deepfake Audio
AUD-20142,29.366,0.4134,0.5971,0.0298,0.1152,26.87,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.6915,27,HIGH,Synthetic Voice / Deepfake Audio
AUD-20143,51.409,0.544,0.5276,0.0215,0.1467,28.1,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9302,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20144,59.463,0.7773,0.8139,0.0304,0.0808,27.61,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9234,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20145,46.346,0.8864,0.789,0.017,0.1035,30.14,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.7274,24,HIGH,Synthetic Voice / Deepfake Audio
AUD-20146,20.094,0.5042,0.7343,0.0303,0.1024,32.3,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.99,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20147,39.927,0.4817,0.816,0.0215,0.1426,25.06,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8013,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20148,87.887,0.1877,0.2732,0.131,0.3968,19.47,Natural,Organic,No,0,0.1681,79,LOW,Authentic Voice Content
AUD-20149,33.307,0.7698,0.6941,0.026,0.1183,26.41,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.9568,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20150,53.746,0.4442,0.8838,0.0224,0.1664,29.93,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9078,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20151,60.251,0.5326,0.5588,0.0344,0.1226,23.74,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.9403,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20152,40.376,0.5696,0.88,0.0231,0.102,28.75,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9124,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20153,48.688,0.6913,0.704,0.0248,0.0626,28.18,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8,20,HIGH,Synthetic Voice / Deepfake Audio
AUD-20154,34.822,0.7519,0.7986,0.0311,0.1546,27.48,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.6992,27,HIGH,Synthetic Voice / Deepfake Audio
AUD-20155,58.661,0.7715,0.5631,0.0149,0.0898,31.6,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9462,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20156,97.728,0.1348,0.1824,0.0886,0.5195,16.25,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20157,81.028,0.0473,0.1238,0.0971,0.273,16.81,Natural,Organic,No,0,0.0445,95,LOW,Authentic Voice Content
AUD-20158,34.39,0.7374,0.6157,0.0259,0.1281,29.78,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.7576,26,HIGH,Synthetic Voice / Deepfake Audio
AUD-20159,41.228,0.5908,0.5976,0.0318,0.1482,30.93,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.99,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20160,98.092,0.2766,0.3013,0.1061,0.403,21.66,Natural,Organic,No,0,0.1302,90,LOW,Authentic Voice Content
AUD-20161,36.19,0.7409,0.7153,0.0252,0.1255,17.03,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8506,17,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20162,35.48,0.9017,0.5697,0.0267,0.1021,22.77,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9273,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20163,45.541,0.6371,0.5693,0.026,0.1636,28.56,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8588,16,CRITICAL,Synthetic Voice / Deepfake Audio
