sample_id,media_type,edge_blending_score,facial_symmetry_deviation,lighting_inconsistency,ela_difference_mean,fft_high_freq_ratio,noise_pattern_residual,color_space_variance,temporal_jitter,blink_rate_anomaly,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
MED-10047,Image,0.1652,0.7534,0.6709,35.749,0.2451,0.4995,0.6082,0.0,0.0,1,0.8753,7,HIGH,Deepfake Detected
MED-10048,Video,0.9595,0.2912,0.133,11.872,0.4355,0.0355,0.0755,0.1303,0.0432,0,0.1853,73,LOW,Authentic Content
MED-10049,Video,0.767,0.1475,0.1473,8.001,0.5569,0.0174,0.0921,0.1372,0.1303,0,0.069,93,LOW,Authentic Content
MED-10050,Image,0.9528,0.1941,0.2726,9.854,0.5507,0.179,0.3332,0.0,0.0,0,0.1409,78,LOW,Authentic Content
MED-10051,Image,0.093,0.7098,0.6344,21.62,0.1061,0.4337,0.4629,0.0,0.0,1,0.9554,14,CRITICAL,Deepfake Detected
MED-10052,Video,0.2284,0.6983,0.4835,50.345,0.1518,0.6888,0.6016,0.5597,0.9963,1,0.8453,19,CRITICAL,Deepfake Detected
MED-10053,Video,0.3007,0.8516,0.7096,45.948,0.1942,0.4363,0.6256,0.7299,0.784,1,0.9581,5,CRITICAL,Deepfake Detected
MED-10054,Image,0.2799,0.7112,0.8346,40.106,0.2157,0.6159,0.7155,0.0,0.0,1,0.842,20,CRITICAL,Deepfake Detected
MED-10055,Image,0.8743,0.2522,0.1632,6.661,0.6936,0.1318,0.2825,0.0,0.0,0,0.01,99,LOW,Authentic Content
MED-10056,Image,0.7444,0.1538,0.1334,13.133,0.7959,0.0982,0.1644,0.0,0.0,0,0.1672,89,LOW,Authentic Content
MED-10057,Image,0.8697,0.0659,0.1769,9.02,0.7061,0.0601,0.2787,0.0,0.0,0,0.0672,93,LOW,Authentic Content
MED-10058,Image,0.2322,0.9232,0.6307,32.128,0.1301,0.5611,0.5035,0.0,0.0,1,0.9689,5,HIGH,Deepfake Detected
MED-10059,Video,0.1125,0.7749,1.0,49.754,0.1128,0.6764,0.5365,0.7251,0.7815,1,0.9584,5,CRITICAL,Deepfake Detected
MED-10060,Image,0.8324,0.1493,0.1334,8.983,0.518,0.1913,0.4022,0.0,0.0,0,0.0481,93,LOW,Authentic Content
MED-10061,Image,0.3528,0.7258,0.8349,44.587,0.2653,0.8371,0.7459,0.0,0.0,1,0.9149,6,HIGH,Deepfake Detected
MED-10062,Image,0.1232,0.8718,0.8345,20.627,0.182,0.6644,0.6704,0.0,0.0,1,0.715,26,CRITICAL,Deepfake Detected
MED-10063,Image,0.1783,0.4638,0.6575,40.829,0.2659,0.4858,0.596,0.0,0.0,1,0.78,19,HIGH,Deepfake Detected
MED-10064,Video,0.2928,0.7366,0.7017,14.077,0.2386,0.8228,0.3759,0.5468,0.5155,1,0.8322,11,CRITICAL,Deepfake Detected
MED-10065,Video,0.8436,0.0582,0.3462,4.455,0.3369,0.0785,0.1964,0.1122,0.1055,0,0.1011,84,LOW,Authentic Content
MED-10066,Image,0.4051,0.6455,0.7998,43.873,0.2314,0.8627,0.6036,0.0,0.0,1,0.9209,5,CRITICAL,Deepfake Detected
MED-10067,Video,0.7745,0.0355,0.0368,10.176,0.4438,0.1797,0.1778,0.0987,0.1096,0,0.0387,99,LOW,Authentic Content
MED-10068,Video,0.8664,0.1462,0.3962,8.121,0.583,0.2269,0.1299,0.1019,0.1038,0,0.0748,91,LOW,Authentic Content
MED-10069,Image,0.7987,0.1958,0.2048,5.405,0.7374,0.1415,0.2315,0.0,0.0,0,0.1209,85,LOW,Authentic Content
MED-10070,Image,0.2712,0.7096,0.7762,64.69,0.1504,0.6827,0.4562,0.0,0.0,1,0.7971,20,CRITICAL,Deepfake Detected
MED-10071,Video,0.6486,0.7646,0.684,18.477,0.2119,0.7536,0.522,0.9033,0.5161,1,0.7036,21,CRITICAL,Deepfake Detected
MED-10072,Image,0.5249,0.8125,0.8321,40.651,0.2226,0.4494,0.7452,0.0,0.0,1,0.9277,9,HIGH,Deepfake Detected
MED-10073,Image,0.7485,0.1267,0.2289,6.903,0.6126,0.0,0.2919,0.0,0.0,0,0.01,97,LOW,Authentic Content
MED-10074,Image,0.0642,0.5738,0.7134,44.224,0.1861,0.4447,0.6996,0.0,0.0,1,0.8006,23,CRITICAL,Deepfake Detected
MED-10075,Image,0.0815,0.9915,0.7708,54.085,0.1557,0.7108,0.5408,0.0,0.0,1,0.7949,24,HIGH,Deepfake Detected
MED-10076,Image,0.8016,0.1859,0.2625,9.413,0.6398,0.0,0.3671,0.0,0.0,0,0.0716,97,LOW,Authentic Content
MED-10077,Video,0.6329,0.0979,0.1628,8.961,0.6244,0.1497,0.212,0.1182,0.2642,0,0.0765,93,LOW,Authentic Content
MED-10078,Video,0.9317,0.2035,0.327,4.188,0.5563,0.0747,0.1949,0.1164,0.1393,0,0.1053,95,LOW,Authentic Content
MED-10079,Image,0.2138,0.7655,0.6783,55.008,0.168,0.6701,0.5592,0.0,0.0,1,0.8516,8,HIGH,Deepfake Detected
MED-10080,Image,0.0692,0.4815,0.7438,30.099,0.2672,0.8954,0.3101,0.0,0.0,1,0.7817,9,CRITICAL,Deepfake Detected
MED-10081,Image,0.7516,0.0041,0.3046,10.174,0.5914,0.1712,0.2607,0.0,0.0,0,0.0969,90,LOW,Authentic Content
MED-10082,Video,0.7727,0.074,0.091,4.337,0.5416,0.2035,0.2735,0.0215,0.0606,0,0.1364,82,LOW,Authentic Content
MED-10083,Video,0.4896,0.1678,0.0366,9.742,0.5176,0.1531,0.2179,0.1682,0.1275,0,0.0542,95,LOW,Authentic Content
MED-10084,Video,0.2625,0.4855,0.5459,30.185,0.1225,0.7932,0.5446,0.8446,0.599,1,0.8779,23,CRITICAL,Deepfake Detected
MED-10085,Video,0.6899,0.1396,0.2902,13.882,0.3356,0.1361,0.3168,0.0157,0.1389,0,0.0799,93,LOW,Authentic Content
MED-10086,Image,0.6152,0.2803,0.0809,5.71,0.4496,0.1081,0.1393,0.0,0.0,0,0.082,89,LOW,Authentic Content
MED-10087,Video,0.5641,0.7361,0.8173,61.859,0.1592,0.9263,0.5916,0.4974,0.5514,1,0.9129,8,CRITICAL,Deepfake Detected
MED-10088,Image,0.1433,0.4689,0.8898,40.201,0.3655,0.7129,0.603,0.0,0.0,1,0.8191,20,HIGH,Deepfake Detected
MED-10089,Image,0.3885,0.4803,0.7322,46.997,0.1122,0.3938,0.8387,0.0,0.0,1,0.7369,26,CRITICAL,Deepfake Detected
MED-10090,Video,0.3904,0.8549,0.7574,42.36,0.1266,0.8087,0.559,0.484,0.7805,1,0.7602,24,HIGH,Deepfake Detected
MED-10091,Image,0.2527,0.8027,0.6289,44.856,0.0,0.6602,0.5354,0.0,0.0,1,0.7508,25,HIGH,Deepfake Detected
MED-10092,Image,0.6716,0.724,0.5506,45.699,0.3025,0.845,0.5544,0.0,0.0,1,0.99,5,HIGH,Deepfake Detected
MED-10093,Image,0.7962,0.1636,0.0419,11.394,0.5799,0.2573,0.1165,0.0,0.0,0,0.0675,92,LOW,Authentic Content
MED-10094,Image,0.7721,0.2107,0.1773,7.59,0.473,0.1191,0.269,0.0,0.0,0,0.0322,97,LOW,Authentic Content
MED-10095,Image,0.6736,0.1963,0.0036,15.412,0.3768,0.1176,0.2935,0.0,0.0,0,0.0282,87,LOW,Authentic Content
MED-10096,Image,0.832,0.2332,0.0361,6.776,0.5094,0.1753,0.3128,0.0,0.0,0,0.1529,85,LOW,Authentic Content
MED-10097,Image,0.2998,0.5783,0.6879,39.581,0.199,0.5772,0.4837,0.0,0.0,1,0.9799,8,HIGH,Deepfake Detected
MED-10098,Image,0.1304,0.5738,0.8594,29.418,0.0663,0.8902,0.5413,0.0,0.0,1,0.8249,20,CRITICAL,Deepfake Detected
MED-10099,Image,0.471,0.8192,0.9238,60.091,0.2397,0.7449,0.4776,0.0,0.0,1,0.8859,6,HIGH,Deepfake Detected
MED-10100,Video,0.6588,0.1235,0.2077,11.055,0.6233,0.085,0.1866,0.1141,0.1051,0,0.1764,84,LOW,Authentic Content
MED-10101,Video,0.3023,0.6845,0.776,30.684,0.1377,0.7438,0.7286,0.6238,0.7463,1,0.99,5,CRITICAL,Deepfake Detected
MED-10102,Video,0.1595,0.781,0.6849,38.265,0.2463,0.5017,0.7346,0.5439,0.7391,1,0.7099,23,CRITICAL,Deepfake Detected
MED-10103,Video,0.9433,0.0615,0.245,6.895,0.7272,0.096,0.218,0.1466,0.0349,0,0.01,92,LOW,Authentic Content
MED-10104,Image,0.2337,0.6356,0.9359,62.573,0.3449,0.8433,0.7029,0.0,0.0,1,0.9093,9,HIGH,Deepfake Detected
MED-10105,Image,0.7745,0.2264,0.0,11.003,0.4682,0.0668,0.1325,0.0,0.0,0,0.0719,94,LOW,Authentic Content
MED-10106,Video,0.1127,0.9581,0.6711,41.64,0.2718,0.6013,0.7238,0.2713,0.512,1,0.8849,12,HIGH,Deepfake Detected
MED-10107,Video,0.416,0.1344,0.2262,6.336,0.3796,0.0,0.1978,0.1886,0.2197,0,0.0526,92,LOW,Authentic Content
MED-10108,Image,0.2639,0.6982,0.706,36.056,0.1098,0.5177,0.5528,0.0,0.0,1,0.8867,9,HIGH,Deepfake Detected
MED-10109,Image,0.7389,0.8126,0.7546,39.548,0.2362,0.6655,0.5669,0.0,0.0,1,0.7896,25,HIGH,Deepfake Detected
MED-10110,Image,0.6418,0.1778,0.1139,5.364,0.5441,0.1889,0.1187,0.0,0.0,0,0.0837,93,LOW,Authentic Content
MED-10111,Video,0.8273,0.0837,0.2193,11.364,0.2364,0.0594,0.2495,0.2029,0.1212,0,0.0363,95,LOW,Authentic Content
MED-10112,Video,0.9136,0.1092,0.191,13.886,0.5588,0.1049,0.1767,0.0218,0.173,0,0.0753,91,LOW,Authentic Content
MED-10113,Video,0.8113,0.1045,0.1902,3.166,0.6303,0.0799,0.3499,0.154,0.0932,0,0.1569,84,LOW,Authentic Content
MED-10114,Video,0.7266,0.1158,0.1499,6.787,0.4054,0.1454,0.365,0.0466,0.1215,0,0.1647,83,LOW,Authentic Content
MED-10115,Video,0.4143,0.6417,0.8862,69.575,0.2264,0.7021,0.6033,0.5564,0.7508,1,0.8205,26,CRITICAL,Deepfake Detected
MED-10116,Image,0.977,0.1014,0.1351,11.674,0.5855,0.0696,0.1548,0.0,0.0,0,0.0554,91,LOW,Authentic Content
MED-10117,Video,0.021,0.6153,0.7253,40.127,0.2098,0.5236,0.7234,0.4182,0.6397,1,0.9024,14,CRITICAL,Deepfake Detected
MED-10118,Image,0.0517,0.4825,0.7691,44.37,0.2308,0.8276,0.6292,0.0,0.0,1,0.8259,12,CRITICAL,Deepfake Detected
MED-10119,Image,0.6665,0.1072,0.1719,9.362,0.5429,0.1626,0.1652,0.0,0.0,0,0.1108,87,LOW,Authentic Content
MED-10120,Video,0.0774,0.7351,0.9773,35.818,0.1521,0.6469,0.5436,0.764,0.4576,1,0.7446,20,CRITICAL,Deepfake Detected
MED-10121,Video,0.684,0.2087,0.1216,8.491,0.4639,0.076,0.2029,0.1174,0.1898,0,0.0959,92,LOW,Authentic Content
MED-10122,Video,0.1526,0.9011,0.6707,49.13,0.1984,0.9868,0.4464,0.8399,0.9624,1,0.7486,29,CRITICAL,Deepfake Detected
MED-10123,Image,0.8966,0.1535,0.3326,6.021,0.5434,0.0755,0.0944,0.0,0.0,0,0.0433,95,LOW,Authentic Content
MED-10124,Image,0.6527,0.1566,0.0488,7.118,0.4297,0.1392,0.3072,0.0,0.0,0,0.01,99,LOW,Authentic Content
MED-10125,Image,0.3254,0.8414,0.723,61.314,0.1751,0.5367,0.3984,0.0,0.0,1,0.6697,25,CRITICAL,Deepfake Detected
MED-10126,Video,0.4142,0.7017,0.6339,30.001,0.2074,0.5168,0.3149,0.4601,0.654,1,0.99,5,HIGH,Deepfake Detected
MED-10127,Image,0.725,0.1421,0.1817,10.679,0.548,0.1772,0.223,0.0,0.0,0,0.0433,97,LOW,Authentic Content
MED-10128,Image,0.0896,0.6607,0.4565,31.915,0.1874,0.6756,0.4567,0.0,0.0,1,0.9766,5,CRITICAL,Deepfake Detected
MED-10129,Video,0.5679,0.6401,0.9207,44.837,0.2191,0.3589,0.4968,0.2896,0.8757,1,0.99,5,CRITICAL,Deepfake Detected
MED-10130,Image,0.709,0.2548,0.3056,6.232,0.4949,0.019,0.1355,0.0,0.0,0,0.1379,92,LOW,Authentic Content
MED-10131,Image,0.7317,0.1121,0.1787,10.112,0.5208,0.0938,0.1912,0.0,0.0,0,0.0747,91,LOW,Authentic Content
MED-10132,Image,0.5191,0.2058,0.15,12.306,0.5644,0.1136,0.2358,0.0,0.0,0,0.01,94,LOW,Authentic Content
MED-10133,Image,0.2829,0.4098,0.644,29.047,0.1303,0.6231,0.5233,0.0,0.0,1,0.6521,38,CRITICAL,Deepfake Detected
MED-10134,Image,0.7147,0.222,0.0693,9.938,0.4642,0.1136,0.4115,0.0,0.0,0,0.01,99,LOW,Authentic Content
MED-10135,Video,0.3261,0.722,0.807,34.065,0.2102,0.6453,0.7151,0.6107,0.434,1,0.9762,5,HIGH,Deepfake Detected
MED-10136,Image,0.5447,0.1679,0.2875,7.021,0.5698,0.2095,0.2933,0.0,0.0,0,0.0677,92,LOW,Authentic Content
MED-10137,Video,0.3718,0.6217,0.8533,51.714,0.1472,0.5305,0.7174,0.5243,0.5658,1,0.7816,26,CRITICAL,Deepfake Detected
MED-10138,Image,0.7422,0.2073,0.252,10.84,0.6627,0.1625,0.2281,0.0,0.0,0,0.1442,85,LOW,Authentic Content
MED-10139,Image,0.7271,0.1061,0.0096,8.947,0.5201,0.071,0.2527,0.0,0.0,0,0.1363,79,LOW,Authentic Content
MED-10140,Image,0.7325,0.2061,0.1562,1.186,0.5963,0.0456,0.2048,0.0,0.0,0,0.0966,95,LOW,Authentic Content
MED-10141,Video,0.3259,0.0468,0.1989,6.479,0.6169,0.0616,0.2381,0.1253,0.1836,0,0.2456,77,LOW,Authentic Content
MED-10142,Image,0.6798,0.0742,0.106,12.124,0.52,0.1194,0.1738,0.0,0.0,0,0.0893,94,LOW,Authentic Content
MED-10143,Image,0.5789,0.1109,0.2036,8.878,0.6221,0.1118,0.2312,0.0,0.0,0,0.0738,93,LOW,Authentic Content
MED-10144,Image,0.1273,0.5575,0.7324,40.868,0.1306,0.5994,0.6539,0.0,0.0,1,0.9704,5,HIGH,Deepfake Detected
MED-10145,Image,0.2532,0.4969,0.8929,34.659,0.1483,0.7272,0.5355,0.0,0.0,1,0.99,5,CRITICAL,Deepfake Detected
MED-10146,Image,0.0637,0.8015,0.5535,58.212,0.108,0.7521,0.5406,0.0,0.0,1,0.9103,5,HIGH,Deepfake Detected
MED-10147,Image,0.262,0.5308,0.8291,9.581,0.1738,0.6524,0.6446,0.0,0.0,1,0.8458,9,CRITICAL,Deepfake Detected
MED-10148,Video,0.4101,0.7088,0.7343,57.088,0.0809,0.4152,0.5998,0.6292,0.726,1,0.8744,5,CRITICAL,Deepfake Detected
MED-10149,Image,0.7075,0.0185,0.1174,8.056,0.5845,0.1231,0.1835,0.0,0.0,0,0.041,93,LOW,Authentic Content
MED-10150,Video,0.8783,0.1697,0.0632,13.723,0.3796,0.1709,0.2511,0.0882,0.1042,0,0.01,99,LOW,Authentic Content
MED-10151,Image,0.9004,0.3172,0.1834,10.246,0.5205,0.0224,0.1576,0.0,0.0,0,0.0935,94,LOW,Authentic Content
MED-10152,Image,0.9111,0.1287,0.2203,9.499,0.5258,0.1399,0.1661,0.0,0.0,0,0.01,96,LOW,Authentic Content
MED-10153,Video,0.2178,0.6829,0.7081,23.58,0.1031,0.7829,0.7471,0.8316,0.7348,1,0.7297,25,CRITICAL,Deepfake Detected
MED-10154,Image,0.684,0.0484,0.2594,6.618,0.4636,0.136,0.1651,0.0,0.0,0,0.076,99,LOW,Authentic Content
MED-10155,Image,0.9166,0.0217,0.012,11.726,0.4378,0.1674,0.0424,0.0,0.0,0,0.1336,81,LOW,Authentic Content
MED-10156,Video,0.9534,0.1526,0.1434,10.602,0.5327,0.1551,0.3581,0.0218,0.217,0,0.0863,87,LOW,Authentic Content
MED-10157,Video,0.0462,0.6192,0.5168,38.355,0.0798,0.7082,0.6864,0.5443,0.3094,1,0.8699,10,CRITICAL,Deepfake Detected
MED-10158,Video,0.574,0.7279,0.8166,7.8,0.1215,0.4863,0.4564,0.4852,0.8826,1,0.9321,5,CRITICAL,Deepfake Detected
MED-10159,Video,0.7866,0.0592,0.1262,13.178,0.7287,0.1787,0.2068,0.0596,0.0702,0,0.1114,90,LOW,Authentic Content
MED-10160,Image,0.6124,0.7989,0.6662,41.502,0.3397,1.0,0.6528,0.0,0.0,1,0.8317,22,CRITICAL,Deepfake Detected
MED-10161,Video,0.7576,0.1837,0.1318,10.09,0.3641,0.0467,0.2847,0.1469,0.158,0,0.0853,81,LOW,Authentic Content
MED-10162,Video,0.8067,0.1443,0.1746,9.792,0.6129,0.0599,0.2155,0.166,0.2292,0,0.0824,90,LOW,Authentic Content
MED-10163,Image,0.307,0.5506,0.7727,48.218,0.128,0.7735,0.7134,0.0,0.0,1,0.99,5,CRITICAL,Deepfake Detected
MED-10164,Image,0.1682,0.4527,0.6319,56.905,0.1371,0.3768,0.446,0.0,0.0,1,0.9736,5,HIGH,Deepfake Detected
MED-10165,Video,0.2333,0.4811,0.6788,32.164,0.1394,0.383,0.4206,0.6339,0.927,1,0.7887,11,CRITICAL,Deepfake Detected
MED-10166,Image,0.9312,0.1398,0.1987,8.443,0.4334,0.1306,0.1563,0.0,0.0,0,0.0637,99,LOW,Authentic Content
MED-10167,Image,0.3112,0.8321,0.5628,27.49,0.2614,0.6934,0.6462,0.0,0.0,1,0.8841,19,HIGH,Deepfake Detected
MED-10168,Image,0.5037,0.7571,0.7046,44.47,0.1492,0.7173,0.4763,0.0,0.0,1,0.8359,15,CRITICAL,Deepfake Detected
MED-10169,Image,0.8235,0.1431,0.0637,10.614,0.4596,0.1358,0.2235,0.0,0.0,0,0.0659,90,LOW,Authentic Content
MED-10170,Image,0.4562,0.1259,0.1278,9.038,0.58,0.1483,0.2061,0.0,0.0,0,0.1246,89,LOW,Authentic Content
MED-10171,Video,0.0911,0.5871,0.8702,66.866,0.1171,0.429,0.6165,0.7499,0.6654,1,0.99,5,CRITICAL,Deepfake Detected
MED-10172,Image,0.7724,0.2188,0.1179,8.214,0.6152,0.119,0.2202,0.0,0.0,0,0.0574,99,LOW,Authentic Content
MED-10173,Image,0.5511,0.1772,0.1175,9.355,0.3991,0.053,0.208,0.0,0.0,0,0.01,90,LOW,Authentic Content
MED-10174,Video,0.7392,0.1296,0.0769,3.428,0.6049,0.1205,0.2852,0.0,0.036,0,0.0809,93,LOW,Authentic Content
MED-10175,Video,0.1995,0.5104,0.5817,44.917,0.097,0.769,0.5935,0.934,0.6578,1,0.8925,9,HIGH,Deepfake Detected
MED-10176,Video,0.1961,0.5911,0.863,63.561,0.0531,0.3492,0.8045,0.6901,0.5698,1,0.9035,14,CRITICAL,Deepfake Detected
MED-10177,Image,0.2689,0.7183,0.7807,28.827,0.1422,0.4445,0.5641,0.0,0.0,1,0.8677,11,CRITICAL,Deepfake Detected
MED-10178,Image,0.1178,0.8238,0.7593,59.603,0.2098,0.7123,0.5736,0.0,0.0,1,0.9724,5,HIGH,Deepfake Detected
MED-10179,Video,0.9217,0.1449,0.1552,11.492,0.5795,0.1227,0.2153,0.072,0.1084,0,0.0402,94,LOW,Authentic Content
MED-10180,Image,0.4877,0.5016,0.6939,31.089,0.3209,0.6047,0.7347,0.0,0.0,1,0.9468,8,HIGH,Deepfake Detected
MED-10181,Image,0.0849,0.907,0.784,55.97,0.2364,0.7762,0.5901,0.0,0.0,1,0.99,6,HIGH,Deepfake Detected
MED-10182,Image,0.4136,0.7495,0.7958,55.801,0.2427,0.6997,0.8038,0.0,0.0,1,0.961,12,HIGH,Deepfake Detected
MED-10183,Image,0.8562,0.095,0.1814,11.358,0.4111,0.2112,0.2409,0.0,0.0,0,0.1418,83,LOW,Authentic Content
MED-10184,Image,0.5101,0.8458,0.8036,27.12,0.2171,0.4313,0.6818,0.0,0.0,1,0.7267,30,CRITICAL,Deepfake Detected
MED-10185,Image,0.9192,0.0,0.1501,9.92,0.4554,0.124,0.1012,0.0,0.0,0,0.1499,87,LOW,Authentic Content
MED-10186,Video,0.1611,0.4497,0.8826,28.765,0.2095,0.7005,0.5683,0.5293,0.8822,1,0.7902,26,CRITICAL,Deepfake Detected
MED-10187,Image,0.432,0.2004,0.2148,12.018,0.7615,0.1814,0.2199,0.0,0.0,0,0.1427,86,LOW,Authentic Content
